!TAIR GO SLIM CATEGORIES 
!Date updated: 20190520
!This file contains a tab delimited list of the Plant GO Slim terms used for functional classification of the Arabidopsis genome.  For each category, annotations are returned if they are annotated to the term or its children. If there is another GO Slim category that is a child term, then the annotations will map to that child and not it's parent term.
!ONTOLOGY ASPECT=the parent ontology for the slim term. One of , cellular component, molecular function or biological process.
!GO term= primary name of the GO term
!GO_ID=unique identifier for the GO term 
!SLIM_NAME= name of slim category as it appears in TAIR Functional Categorization output

ONTOLOGY ASPECT	GO TERM	GO_ID	DEFINITION	SLIM_NAME
cellular component	Golgi apparatus	GO:0005794	"A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions."	Golgi apparatus
cellular component	external encapsulating structure	GO:0030312	A structure that lies outside the plasma membrane and surrounds the entire cell or cells. This does not include the periplasmic space.	external encapsulating structure
cellular component	cell wall	GO:0005618	"The rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal, most prokaryotic cells and some protozoan parasites, maintaining their shape and protecting them from osmotic lysis. In plants it is made of cellulose and, often, lignin; in fungi it is composed largely of polysaccharides; in bacteria it is composed of peptidoglycan; in protozoan parasites such as Giardia species, it's made of carbohydrates and proteins."	cell wall
cellular component	cellular_component	GO:0005575	"A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome)."	other cellular components
cellular component	chloroplast	GO:0009507	"A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."	chloroplast
cellular component	cytoplasm	GO:0005737	"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."	cytoplasm	
cellular component	endoplasmic reticulum	GO:0005783	"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."	endoplasmic reticulum
cellular component	endosome	GO:0005768	A vacuole to which materials ingested by endocytosis are delivered.	endosome
cellular component	extracellular region	GO:0005576	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.	extracellular region
cellular component	lysosome	GO:0005764	"A small lytic vacuole that has cell cycle-independent morphology and is found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions."	lysosome
cellular component	membrane	GO:0016020	A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.	other membranes
cellular component	mitochondrion	GO:0005739	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	mitochondrion
cellular component	intracellular	GO:0005622	"The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."	other intracellular components
cellular component	nucleolus	GO:0005730	"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."	nucleolus
cellular component	nucleoplasm	GO:0005654	That part of the nuclear content other than the chromosomes or the nucleolus.	nucleoplasm
cellular component	nucleus	GO:0005634	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."	nucleus
cellular component	peroxisome	GO:0005777	"A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism."	peroxisome
cellular component	plasma membrane	GO:0005886	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	plasma membrane
cellular component	plastid	GO:0009536	"Any member of a family of organelles found in the cytoplasm of plants and some protists, which are membrane-bounded and contain DNA. Plant plastids develop from a common type, the proplastid."	plastid
cellular component	ribosome	GO:0005840	"An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."	ribosome
cellular component	nuclear envelope	GO:0005635	"The double lipid bilayer enclosing the nucleus and separating its contents from the rest of the cytoplasm; includes the intermembrane space, a gap of width 20-40 nm (also called the perinuclear space)."	nuclear envelope
cellular component	thylakoid	GO:0009579	"A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation."	thylakoid
cellular component	vacuole	GO:0005773	"A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."	vacuole
cellular component	cell	GO:0005623	The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope.	cell
molecular function	DNA binding	GO:0003677	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	DNA binding
molecular function	RNA binding	GO:0003723	Interacting selectively and non-covalently with an RNA molecule or a portion thereof.	RNA binding
molecular function	chromatin binding	GO:0003682	"Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."	chromatin binding
molecular function	catalytic activity	GO:0003824	"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."	catalytic activity
molecular function	kinase activity	GO:0016301	"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."	kinase activity
molecular function	hydrolase activity	GO:0016787	"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3."	hydrolase activity
molecular function	signaling receptor binding	GO:0005102	"Interacting selectively and non-covalently with one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."	signaling receptor binding
molecular function	binding	GO:0005488	"The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."	other binding
molecular function	lipid binding	GO:0008289	Interacting selectively and non-covalently with a lipid.	lipid binding
molecular function	molecular_function	GO:0003674	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process."	other molecular functions
