	GOSlimTerm
Golgi apparatus	0.03314679294016358
anatomical structure development	0.0008609556607834697
biosynthetic process	0.00043047783039173483
catalytic activity	0.0008609556607834697
cell communication	0.00043047783039173483
cell wall	0.012053379250968575
cellular protein modification process	0.002582866982350409
chloroplast	0.26517434352130864
cytoplasm	0.06973740852346104
cytosol	0.004304778303917348
embryo development	0.00043047783039173483
endoplasmic reticulum	0.00043047783039173483
endosome	0.00043047783039173483
extracellular region	0.04218682737839001
kinase activity	0.00043047783039173483
mitochondrion	0.07834696513129574
multicellular organism development	0.0012914334911752045
nucleolus	0.005596211795092553
nucleoplasm	0.00043047783039173483
nucleotide binding	0.003013344812742144
nucleus	0.1631510977184675
other binding	0.004304778303917348
other cellular components	0.022815325010761944
other cellular processes	0.0038743004735256135
other intracellular components	0.04735256134309083
other membranes	0.01334481274214378
other metabolic processes	0.003013344812742144
peroxisome	0.002582866982350409
plasma membrane	0.05380972879896685
plastid	0.08136030994403788
post-embryonic development	0.0008609556607834697
protein binding	0.00043047783039173483
reproduction	0.0008609556607834697
response to abiotic stimulus	0.0008609556607834697
response to chemical	0.002582866982350409
response to endogenous stimulus	0.00043047783039173483
response to external stimulus	0.00043047783039173483
response to light stimulus	0.00043047783039173483
response to stress	0.00043047783039173483
ribosome	0.002582866982350409
signal transduction	0.00043047783039173483
signaling receptor activity	0.00043047783039173483
thylakoid	0.02927249246663797
transferase activity	0.0008609556607834697
unknown cellular components	0.00043047783039173483
vacuole	0.04089539388721481
