	GOSlimTerm
DNA binding	166
DNA metabolic process	111
DNA-binding transcription factor activity	93
Golgi apparatus	126
RNA binding	264
abscission	2
anatomical structure development	466
biosynthetic process	533
carbohydrate binding	17
carbohydrate metabolic process	125
catabolic process	175
catalytic activity	802
cell communication	48
cell cycle	88
cell death	17
cell differentiation	59
cell growth	55
cell wall	22
cell-cell signaling	4
cellular component organization	350
cellular homeostasis	23
cellular protein modification process	308
chloroplast	315
chromatin binding	18
circadian rhythm	19
cytoplasm	277
cytoskeleton	51
cytosol	257
embryo development	80
endoplasmic reticulum	125
endosome	54
enzyme regulator activity	40
extracellular region	13
flower development	66
generation of precursor metabolites and energy	51
growth	62
hydrolase activity	285
kinase activity	293
lipid binding	31
lipid metabolic process	129
lysosome	2
mitochondrion	212
motor activity	6
multicellular organism development	434
nuclear envelope	15
nuclease activity	30
nucleic acid binding	97
nucleobase-containing compound metabolic process	567
nucleolus	30
nucleoplasm	38
nucleotide binding	92
nucleus	459
other binding	372
other biological processes	51
other cellular components	132
other cellular processes	1942
other intracellular components	380
other membranes	289
other metabolic processes	1508
other molecular functions	13
oxygen binding	1
peroxisome	29
photosynthesis	28
plasma membrane	254
plastid	215
pollination	31
post-embryonic development	205
protein binding	1537
protein metabolic process	166
regulation of gene expression, epigenetic	12
regulation of molecular function	19
reproduction	261
response to abiotic stimulus	199
response to biotic stimulus	171
response to chemical	338
response to endogenous stimulus	149
response to external stimulus	199
response to light stimulus	180
response to stress	471
ribosome	20
secondary metabolic process	37
signal transduction	156
signaling receptor activity	28
signaling receptor binding	15
structural molecule activity	29
thylakoid	60
transcription regulator activity	13
transferase activity	669
translation	47
translation factor activity, RNA binding	13
transport	314
transporter activity	263
tropism	23
unknown biological processes	110
unknown cellular components	10
unknown molecular functions	97
vacuole	55
