	GOSlimTerm
Golgi apparatus	0.02875924404272802
anatomical structure development	0.0012325390304026294
biosynthetic process	0.0008216926869350862
carbohydrate metabolic process	0.0004108463434675431
cell wall	0.0049301561216105174
cellular component organization	0.0004108463434675431
cellular protein modification process	0.0024650780608052587
chloroplast	0.2522596548890715
cytoplasm	0.06655710764174198
cytosol	0.005341002465078061
embryo development	0.0008216926869350862
endoplasmic reticulum	0.0004108463434675431
extracellular region	0.0419063270336894
flower development	0.0004108463434675431
hydrolase activity	0.0004108463434675431
mitochondrion	0.06614626129827444
multicellular organism development	0.0012325390304026294
nucleobase-containing compound metabolic process	0.0008216926869350862
nucleolus	0.005341002465078061
nucleotide binding	0.002054231717337716
nucleus	0.1684470008216927
other binding	0.002875924404272802
other cellular components	0.0238290879211175
other cellular processes	0.0045193097781429745
other intracellular components	0.06162695152013147
other membranes	0.016433853738701727
other metabolic processes	0.0036976170912078883
peroxisome	0.005751848808545604
plasma membrane	0.05834018077239113
plastid	0.10230073952341824
post-embryonic development	0.0016433853738701725
reproduction	0.0012325390304026294
response to chemical	0.0012325390304026294
response to endogenous stimulus	0.0004108463434675431
ribosome	0.0049301561216105174
thylakoid	0.03410024650780608
transport	0.0004108463434675431
transporter activity	0.0004108463434675431
unknown cellular components	0.0004108463434675431
vacuole	0.024650780608052588
