	GOSlimTerm
DNA binding	0.009471841861422836
DNA metabolic process	0.006537629980438588
DNA-binding transcription factor activity	0.004735920930711418
Golgi apparatus	0.007670132811695665
RNA binding	0.011942757129620096
abscission	5.147740142077628e-05
anatomical structure development	0.02198085040667147
biosynthetic process	0.03001132502831257
carbohydrate binding	0.0004632966127869865
carbohydrate metabolic process	0.007155358797487903
catabolic process	0.009060022650056626
catalytic activity	0.04385874601050139
cell communication	0.003294553690929682
cell cycle	0.005508081952023062
cell death	0.0012354576340986307
cell differentiation	0.004581488726449089
cell growth	0.0028312570781426952
cell wall	0.0008751158241531967
cell-cell signaling	0.00020590960568310512
cellular component organization	0.01786265829300937
cellular homeostasis	0.0016987542468856172
cellular protein modification process	0.014671059404921239
chloroplast	0.014568104602079687
chromatin binding	0.0007721610213116442
circadian rhythm	0.0011325028312570782
cytoplasm	0.015649130031915988
cytoskeleton	0.003860805106558221
cytosol	0.013384124369401833
embryo development	0.0032430762895089057
endoplasmic reticulum	0.00787604241737877
endosome	0.0023164830639349327
enzyme regulator activity	0.0015443220426232885
extracellular region	0.001286935035519407
flower development	0.0025223926696180377
generation of precursor metabolites and energy	0.0019561412539894985
growth	0.0033975084937712344
hydrolase activity	0.016884587666014618
kinase activity	0.012766395552352518
lipid binding	0.0012354576340986307
lipid metabolic process	0.007670132811695665
lysosome	0.00010295480284155256
mitochondrion	0.011325028312570781
motor activity	0.00041181921136621024
multicellular organism development	0.019458457737053434
nuclear envelope	0.0006692062184700916
nuclease activity	0.001853186451147946
nucleic acid binding	0.00483887573355297
nucleobase-containing compound metabolic process	0.02532688149902193
nucleolus	0.0016987542468856172
nucleoplasm	0.00262534747245959
nucleotide binding	0.004478533923607537
nucleus	0.02295892103366622
other binding	0.01657572325748996
other biological processes	0.0031915988880881294
other cellular components	0.006897971790384021
other cellular processes	0.10748481416658087
other intracellular components	0.022598579223720786
other membranes	0.015855039637599093
other metabolic processes	0.07438484505302172
other molecular functions	0.001647276845464841
oxygen binding	0.00015443220426232884
peroxisome	0.002985689282405024
photosynthesis	0.001081025429836302
plasma membrane	0.010758776896942242
plastid	0.011376505713991557
pollination	0.0021105734582518272
post-embryonic development	0.008545248635848861
protein binding	0.08751158241531967
protein metabolic process	0.008751158241531968
regulation of gene expression, epigenetic	0.00041181921136621024
regulation of molecular function	0.0013898898383609595
reproduction	0.011427983115412333
response to abiotic stimulus	0.010758776896942242
response to biotic stimulus	0.008339339030165756
response to chemical	0.018583341912900238
response to endogenous stimulus	0.009471841861422836
response to external stimulus	0.010810254298363018
response to light stimulus	0.006434675177597035
response to stress	0.02697415834448677
ribosome	0.0015957994440440647
secondary metabolic process	0.002367960465355709
signal transduction	0.00828786162874498
signaling receptor activity	0.0015957994440440647
signaling receptor binding	0.0006692062184700916
structural molecule activity	0.001286935035519407
thylakoid	0.003294553690929682
transcription regulator activity	0.0007721610213116442
transferase activity	0.031298260063831976
translation	0.00221352826109338
translation factor activity, RNA binding	0.0004632966127869865
transport	0.017141974673118503
transporter activity	0.01328116956656028
tropism	0.0012354576340986307
unknown biological processes	0.006383197776176259
unknown cellular components	0.0005147740142077627
unknown molecular functions	0.005611036754864614
vacuole	0.0019561412539894985
