	GOSlimTerm
Golgi apparatus	70
anatomical structure development	3
biosynthetic process	2
carbohydrate metabolic process	1
cell wall	12
cellular component organization	1
cellular protein modification process	6
chloroplast	614
cytoplasm	162
cytosol	13
embryo development	2
endoplasmic reticulum	1
extracellular region	102
flower development	1
hydrolase activity	1
mitochondrion	161
multicellular organism development	3
nucleobase-containing compound metabolic process	2
nucleolus	13
nucleotide binding	5
nucleus	410
other binding	7
other cellular components	58
other cellular processes	11
other intracellular components	150
other membranes	40
other metabolic processes	9
peroxisome	14
plasma membrane	142
plastid	249
post-embryonic development	4
reproduction	3
response to chemical	3
response to endogenous stimulus	1
ribosome	12
thylakoid	83
transport	1
transporter activity	1
unknown cellular components	1
vacuole	60
