	GOSlimTerm
DNA binding	1
Golgi apparatus	65
anatomical structure development	8
biosynthetic process	1
carbohydrate metabolic process	1
cell communication	2
cell differentiation	1
cell wall	19
cellular protein modification process	9
chloroplast	601
cytoplasm	155
cytosol	32
embryo development	1
endosome	1
extracellular region	65
flower development	1
lipid metabolic process	1
mitochondrion	145
multicellular organism development	7
nucleic acid binding	1
nucleolus	15
nucleotide binding	7
nucleus	397
other binding	12
other cellular components	50
other cellular processes	14
other intracellular components	144
other membranes	37
other metabolic processes	11
peroxisome	6
plasma membrane	108
plastid	227
pollination	2
post-embryonic development	4
protein binding	2
reproduction	6
response to abiotic stimulus	3
response to biotic stimulus	1
response to chemical	3
response to endogenous stimulus	1
response to external stimulus	3
response to light stimulus	1
response to stress	2
ribosome	30
thylakoid	80
transport	1
transporter activity	1
tropism	2
unknown cellular components	1
vacuole	110
